filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8002 	
| V:1 D:0 Tag: 0x8002 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8002 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x800b 	
| V:1 D:0 Tag: 0x800b 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8015 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x800a 	
