filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x800b 	
| V:1 D:0 Tag: 0x800b 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x800c 	
| V:1 D:0 Tag: 0x800c 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x800c 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x8008 	
| V:1 D:0 Tag: 0x800c 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
