filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8020 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x8020 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x801f 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802f 	
| V:1 D:0 Tag: 0x801f 	
| V:1 D:0 Tag: 0x801b 	
| V:1 D:0 Tag: 0x801b 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x801b 	
| V:1 D:0 Tag: 0x801b 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x8006 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801d 	
| V:1 D:0 Tag: 0x801f 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801b 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8009 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8009 	
