filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8018 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8018 	
| V:1 D:0 Tag: 0x8018 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8041 	
| V:1 D:0 Tag: 0x8041 	
| V:1 D:0 Tag: 0x8041 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8041 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8041 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8032 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x8013 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8044 	
