filename = Config/L2-2way.txt
L1ICost 200
L1DCost 200
I2 Size 65536
L2Cost 100
MainMemoryLatencyCost 50
BandwithCost 25
totalCost 575
=========================L1I=========================
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:0 Tag: 0x8052 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808b 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x805d 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
